2014020003,3,4
2014020015,3,2
2014020026,5,6
2014020045,2,4
2014020048,7,1
2014020058,5,4
2014020076,2,2
2014020088,0,2
2014020098,2,2
2014020116,2,3
2014020134,3,7
2014020151,1,2
2014020166,1,5
2014020175,3,0
2014020190,1,4
2014020202,3,3
2014020219,3,1
2014020239,1,3
2014020259,6,2
2014020275,3,5
2014020287,2,6
2014020305,2,6
2014020322,0,4
2014020331,2,2
2014020353,1,1
2014020369,1,3
2014020384,1,3
2014020401,3,3
2014020412,2,2
2014020422,2,4
2014020431,5,5
2014020449,2,3
2014020462,3,3
2014020478,1,4
2014020489,2,3
2014020502,2,2
2014020525,4,3
2014020539,2,2
2014020555,3,4
2014020564,2,3
2014020596,2,4
2014020611,1,5
2014020621,0,2
2014020652,0,2
2014020671,1,2
2014020681,3,5
2014020695,2,3
2014020705,2,4
2014020719,0,1
2014020736,1,4
2014020743,2,2
2014020758,3,3
2014020772,1,4
2014020796,3,3
2014020817,2,3
2014020831,1,2
2014020843,0,2
2014020855,1,3
2014020871,1,5
2014020896,2,0
2014020905,3,2
2014020918,3,2
2014020943,2,2
2014020956,2,6
2014020967,2,2
2014020983,2,2
2014021001,3,6
2014021017,3,2
2014021028,0,3
2014021048,1,1
2014021060,2,4
2014021067,0,5
2014021088,3,1
2014021100,5,4
2014021112,1,2
2014021132,1,1
2014021139,4,3
2014021158,1,4
2014021178,0,1
2014021198,0,4
2014021211,0,1
2014021218,4,2
2015020003,3,2
2015020028,4,2
2015020044,1,4
2015020061,2,2
2015020073,4,4
2015020087,3,2
2015020103,4,3
2015020119,2,2
2015020121,3,3
2015020134,4,4
2015020152,3,3
2015020163,4,3
2015020178,2,2
2015020190,2,1
2015020209,2,3
2015020222,2,1
2015020235,2,4
2015020243,2,2
2015020260,1,2
2015020274,3,4
2015020291,3,2
2015020316,2,2
2015020341,2,7
2015020352,2,3
2015020366,2,3
2015020385,1,4
2015020416,2,6
2015020427,3,2
2015020443,5,3
2015020459,2,4
2015020474,3,3
2015020484,0,4
2015020496,3,3
2015020514,1,5
2015020534,1,3
2015020548,1,4
2015020562,1,4
2015020577,2,5
2015020595,0,1
2015020605,3,3
2015020631,1,2
2015020644,2,2
2015020668,1,5
2015020682,2,4
2015020696,2,0
2015020722,5,5
2015020729,2,5
2015020742,3,4
2015020758,5,4
2015020773,0,1
2015020786,1,2
2015020805,3,3
2015020817,8,5
2015020824,7,6
2015020841,3,4
2015020857,3,5
2015020873,2,2
2015020887,4,5
2015020901,4,2
2015020913,2,2
2015020928,3,3
2015020938,4,4
2015020943,4,4
2015020955,8,3
2015020970,2,1
2015020990,1,6
2015021003,1,3
2015021017,4,3
2015021035,3,1
2015021050,2,3
2015021064,2,2
2015021081,1,3
2015021087,5,2
2015021107,5,5
2015021126,2,2
2015021138,4,3
2015021151,3,3
2015021160,3,2
2015021176,2,5
2015021197,3,4
2015021212,5,2
2015021224,4,1
2016020003,6,3
2016020015,4,5
2016020029,4,2
2016020046,5,5
2016020059,8,4
2016020075,4,3
2016020082,2,3
2016020089,4,2
2016020110,4,2
2016020130,2,2
2016020139,3,3
2016020157,3,2
2016020172,3,3
2016020179,3,2
2016020204,3,1
2016020222,1,3
2016020237,3,5
2016020244,2,3
2016020259,1,4
2016020274,2,2
2016020276,6,2
2016020292,2,3
2016020308,4,1
2016020327,4,1
2016020328,4,1
2016020343,2,2
2016020357,3,5
2016020375,4,3
2016020390,2,2
2016020403,4,4
2016020419,4,3
2016020443,4,4
2016020458,4,5
2016020480,5,6
2016020492,5,1
2016020514,2,4
2016020524,6,3
2016020541,6,4
2016020556,3,4
2016020575,3,7
2016020589,2,4
2016020601,3,1
2016020611,3,3
2016020623,2,2
2016020638,3,2
2016020649,3,1
2016020669,4,4
2016020682,4,5
2016020700,4,3
2016020710,4,4
2016020718,3,5
2016020733,1,2
2016020756,3,4
2016020769,3,2
2016020786,1,1
2016020792,2,4
2016020835,1,4
2016020845,3,3
2016020867,5,4
2016020888,3,2
